player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
Dane Sweeny;1,0;4,7;110;;Q;AUS;128;128;128;42;1477,5;1370,2;1645,7;0,4166666666666667;0,6;0,4166666666666667;0,4738013958246215;705,0;0,3799999999999999;0,0;156
Marco Trungelliti;1,3;4,53;111;;;ARG;128;128;128;30;1644,7;1490,2;1693,1;0,4166666666666667;0,3333333333333333;0,25;1,885493327695323;1208,0;-0,0299999999999999;0,0;318
Jacob Fearnley;2,5;4,25;112;;WC;GBR;128;128;128;59;1600,4;1546,6;1910,0;0,5;0,625;0,6153846153846154;0,8002492664747793;1063,0;0,0999999999999999;1,0;130
Hugo Gaston;1,0;4,19;113;;Q;FRA;128;128;128;31;1621,0;1508,6;1795,1;0,3333333333333333;0,0;0,1;0,1033704722956332;509,0;0,1999999999999999;0,0;359
Stan Wawrinka;1,6;4,1;114;;WC;SUI;128;128;128;43;1677,9;1589,8;2145,5;0,2;0,0;0,0;-0,3;0,0;0,05;0,0;189
Alexei Popyrin;3,0;3,81;115;;;AUS;128;128;128;57;1754,5;1609,4;1902,2;0,3333333333333333;0,0;0,2222222222222222;0,364777907917802;339,0;-0,15;0,0;290
Terence Atmane;4,8;3,44;116;;;FRA;128;128;128;53;1718,4;1562,6;1763,0;0,3333333333333333;0,25;0,4;1,1996741235420625;466,0;-0,075;0,0;227
Toby Samuel;1,0;3,05;118;;WC;GBR;128;128;128;41;1650,2;1505,2;1787,0;0,6666666666666666;0,625;0,5714285714285714;1,4727908997589283;723,0;0,05;1,0;67
Michael Zheng;1,0;2,95;119;;Q;USA;128;128;128;20;1645,5;1489,9;1777,3;0,375;0,0;0,2857142857142857;0,0619668482235735;271,0;0,1999999999999999;0,0;63
Miomir Kecmanovic;4,6;2,6;120;;;SRB;128;128;128;1;1766,2;1625,9;1900,6;0,6666666666666666;0,5;0,3076923076923077;1,2728368910616297;596,0;0,0;0,0;319
Roman Andres Burruchaga;1,5;2,22;121;;;ARG;128;128;128;33;1724,2;1577,8;1764,5;0,4166666666666667;0,0;0,1;0,5044922130841669;510,0;-0,15;0,0;276
Yibing Wu;1,9;2,18;122;;;CHN;128;128;128;32;1763,2;1556,3;1882,9;0,5;0,25;0,4444444444444444;0,5844646108015041;475,0;-0,075;0,0;147
Jack Pinnington Jones;1,7;1,85;123;;WC;GBR;128;128;128;13;1560,7;1545,1;1685,0;0,25;0,3333333333333333;0,5454545454545454;1,594972845266431;744,0;0,02;1,0;89
Billy Harris;1,0;1,84;124;;Q;GBR;128;128;128;37;1515,5;1519,7;1711,4;0,3333333333333333;0,5714285714285714;0,6363636363636364;1,1586438276247233;922,0;0,3799999999999999;1,0;251
Dalibor Svrcina;1,0;1,77;125;;;CZE;128;128;128;24;1647,8;1492,9;1712,9;0,5;0,0;0,0;0,9838035255234155;697,0;0,0299999999999999;0,0;271
Alexandre Muller;3,5;1,41;127;;;FRA;128;128;128;12;1664,5;1516,3;1801,7;0,25;0,0;0,0;-0,27875;51,0;0,0;0,0;335
Felix Gill;1,0;1,13;128;;WC;GBR;128;128;128;5;1490,4;1408,3;1531,5;0,3333333333333333;0,2857142857142857;0,5833333333333334;1,2701669109382714;795,0;-0,0399999999999999;1,0;64
